Name,Domain,Status,Notes,Sources,clean_domain,russian_prop
dobri-den[.]ru,dobri-den[.]ru,,,[17],dobri-den.ru,1
dobrii-den[.]ru,dobrii-den[.]ru,,,[17],dobrii-den.ru,1
dobtrud[.]ru,dobtrud[.]ru,,,[17],dobtrud.ru,1
dolinsk-rybak[.]ru,dolinsk-rybak[.]ru,,,[17],dolinsk-rybak.ru,1
domen-besplatno[.]ru,domen-besplatno[.]ru,,,[17],domen-besplatno.ru,1
domovenok-press[.]ru,domovenok-press[.]ru,,,[17],domovenok-press.ru,1
don-ak[.]ru,don-ak[.]ru,,,[17],don-ak.ru,1
donetski-veteran[.]ru,donetski-veteran[.]ru,,,[17],donetski-veteran.ru,1
donetsky-truzhenik[.]ru,donetsky-truzhenik[.]ru,,,[17],donetsky-truzhenik.ru,1
donogni[.]ru,donogni[.]ru,,,[17],donogni.ru,1
dorogobuzh-gazeta[.]ru,dorogobuzh-gazeta[.]ru,,,[17],dorogobuzh-gazeta.ru,1
dost-jizn[.]ru,dost-jizn[.]ru,,,[17],dost-jizn.ru,1
dubna-gorodok[.]ru,dubna-gorodok[.]ru,,,[17],dubna-gorodok.ru,1
dukhovskie-novosti[.]ru,dukhovskie-novosti[.]ru,,,[17],dukhovskie-novosti.ru,1
duldurgin[.]ru,duldurgin[.]ru,,,[17],duldurgin.ru,1
dyrtuli-express[.]ru,dyrtuli-express[.]ru,,,[17],dyrtuli-express.ru,1
dyur-express[.]ru,dyur-express[.]ru,,,[17],dyur-express.ru,1
dzerzhinetspress[.]ru,dzerzhinetspress[.]ru,,,[17],dzerzhinetspress.ru,1
egorevskoe-utro[.]ru,egorevskoe-utro[.]ru,,,[17],egorevskoe-utro.ru,1
egorievskoe-utro[.]ru,egorievskoe-utro[.]ru,,,[17],egorievskoe-utro.ru,1
ehokizlyara[.]ru,ehokizlyara[.]ru,,,[17],ehokizlyara.ru,1
ehoosha[.]com,ehoosha[.]com,,,[17],ehoosha.com,1
ehoosha[.]ru,ehoosha[.]ru,,,[17],ehoosha.ru,1
eiskiliman[.]ru,eiskiliman[.]ru,,,[17],eiskiliman.ru,1
elbrusnews[.]ru,elbrusnews[.]ru,,,[17],elbrusnews.ru,1
elkhotovo[.]ru,elkhotovo[.]ru,,,[17],elkhotovo.ru,1
elkhov-prostory[.]ru,elkhov-prostory[.]ru,,,[17],elkhov-prostory.ru,1
emelyanovo-besedy[.]ru,emelyanovo-besedy[.]ru,,,[17],emelyanovo-besedy.ru,1
eniseiskaya-gubernia[.]ru,eniseiskaya-gubernia[.]ru,,,[17],eniseiskaya-gubernia.ru,1
enotaevka-listok[.]ru,enotaevka-listok[.]ru,,,[17],enotaevka-listok.ru,1
enotaevski-listok[.]ru,enotaevski-listok[.]ru,,,[17],enotaevski-listok.ru,1
ermakovskoe-utro[.]ru,ermakovskoe-utro[.]ru,,,[17],ermakovskoe-utro.ru,1
essentukskaya[.]ru,essentukskaya[.]ru,,,[17],essentukskaya.ru,1
esso-news[.]ru,esso-news[.]ru,,,[17],esso-news.ru,1
esticrimea[.]ru,esticrimea[.]ru,,,[17],esticrimea.ru,1
evenchanka[.]ru,evenchanka[.]ru,,,[17],evenchanka.ru,1
evpatoria-objectiv[.]ru,evpatoria-objectiv[.]ru,,,[17],evpatoria-objectiv.ru,1
evpatoriski[.]ru,evpatoriski[.]ru,,,[17],evpatoriski.ru,1
faces-magazine[.]ru,faces-magazine[.]ru,,,[17],faces-magazine.ru,1
faces-vol[.]ru,faces-vol[.]ru,,,[17],faces-vol.ru,1
fatezhsky-golos[.]ru,fatezhsky-golos[.]ru,,,[17],fatezhsky-golos.ru,1
federalpress[.]ru,federalpress[.]ru,,,[17],federalpress.ru,1
feodosia-prov[.]ru,feodosia-prov[.]ru,,,[17],feodosia-prov.ru,1
fonar-yugra[.]ru,fonar-yugra[.]ru,,,[17],fonar-yugra.ru,1
forumkrim[.]ru,forumkrim[.]ru,,,[17],forumkrim.ru,1
freemediaforum[.]info,freemediaforum[.]info,,,[17],freemediaforum.info,1
fryazinets[.]ru,fryazinets[.]ru,,,[17],fryazinets.ru,1
furmanovski-vestnik[.]ru,furmanovski-vestnik[.]ru,,,[17],furmanovski-vestnik.ru,1
gadzhievo-news[.]ru,gadzhievo-news[.]ru,,,[17],gadzhievo-news.ru,1
gagvesti[.]ru,gagvesti[.]ru,,,[17],gagvesti.ru,1
gatchina-dom[.]press,gatchina-dom[.]press,,,[17],gatchina-dom.press,1
gatchina-press[.]ru,gatchina-press[.]ru,,,[17],gatchina-press.ru,1
gavrilovyam[.]ru,gavrilovyam[.]ru,,,[17],gavrilovyam.ru,1
gazeta-belozerie[.]ru,gazeta-belozerie[.]ru,,,[17],gazeta-belozerie.ru,1
gazeta-dnovets[.]ru,gazeta-dnovets[.]ru,,,[17],gazeta-dnovets.ru,1
gazeta-konakovo[.]ru,gazeta-konakovo[.]ru,,,[17],gazeta-konakovo.ru,1
gazeta-organizator[.]ru,gazeta-organizator[.]ru,,,[17],gazeta-organizator.ru,1
gazeta-osered[.]ru,gazeta-osered[.]ru,,,[17],gazeta-osered.ru,1
gazeta-oshmes[.]ru,gazeta-oshmes[.]ru,,,[17],gazeta-oshmes.ru,1
gazeta-pokrovskoe[.]ru,gazeta-pokrovskoe[.]ru,,,[17],gazeta-pokrovskoe.ru,1
gazeta-polyus[.]ru,gazeta-polyus[.]ru,,,[17],gazeta-polyus.ru,1
gazeta-safonovo[.]ru,gazeta-safonovo[.]ru,,,[17],gazeta-safonovo.ru,1
gazeta-shelehov[.]ru,gazeta-shelehov[.]ru,,,[17],gazeta-shelehov.ru,1
gazeta-sm[.]ru,gazeta-sm[.]ru,,,[17],gazeta-sm.ru,1
gazeta-st[.]ru,gazeta-st[.]ru,,,[17],gazeta-st.ru,1
gazeta-star[.]ru,gazeta-star[.]ru,,,[17],gazeta-star.ru,1
gazeta-suoyarvi[.]ru,gazeta-suoyarvi[.]ru,,,[17],gazeta-suoyarvi.ru,1
gazeta-tuapse[.]ru,gazeta-tuapse[.]ru,,,[17],gazeta-tuapse.ru,1
gazeta-volna[.]ru,gazeta-volna[.]ru,,,[17],gazeta-volna.ru,1
gazeta-zp[.]ru,gazeta-zp[.]ru,,,[17],gazeta-zp.ru,1
gazetababaevo[.]ru,gazetababaevo[.]ru,,,[17],gazetababaevo.ru,1
gazetakurg[.]ru,gazetakurg[.]ru,,,[17],gazetakurg.ru,1
gazetaak[.]ru,gazetaak[.]ru,,,[17],gazetaak.ru,1
gazetasovetsk[.]ru,gazetasovetsk[.]ru,,,[17],gazetasovetsk.ru,1
gazetatavrika[.]ru,gazetatavrika[.]ru,,,[17],gazetatavrika.ru,1
gazetavek[.]ru,gazetavek[.]ru,,,[17],gazetavek.ru,1
gazetavest[.]info,gazetavest[.]info,,,[17],gazetavest.info,1
gazetazt[.]ru,gazetazt[.]ru,,,[17],gazetazt.ru,1
gdov-zarya[.]ru,gdov-zarya[.]ru,,,[17],gdov-zarya.ru,1
gekhi[.]ru,gekhi[.]ru,,,[17],gekhi.ru,1
geldagana[.]ru,geldagana[.]ru,,,[17],geldagana.ru,1
gelendzhik-week[.]ru,gelendzhik-week[.]ru,,,[17],gelendzhik-week.ru,1
georgievsk-krepost[.]ru,georgievsk-krepost[.]ru,,,[17],georgievsk-krepost.ru,1
germanscrimea[.]ru,germanscrimea[.]ru,,,[17],germanscrimea.ru,1
geroldia[.]ru,geroldia[.]ru,,,[17],geroldia.ru,1
giaginskoe-vremya[.]ru,giaginskoe-vremya[.]ru,,,[17],giaginskoe-vremya.ru,1
gipanis[.]ru,gipanis[.]ru,,,[17],gipanis.ru,1
gizbudni[.]ru,gizbudni[.]ru,,,[17],gizbudni.ru,1
gizelbudni[.]ru,gizelbudni[.]ru,,,[17],gizelbudni.ru,1
glas-cherepanovo[.]ru,glas-cherepanovo[.]ru,,,[17],glas-cherepanovo.ru,1
glushkovo-vesti[.]ru,glushkovo-vesti[.]ru,,,[17],glushkovo-vesti.ru,1
goity-vestnik[.]ru,goity-vestnik[.]ru,,,[17],goity-vestnik.ru,1
golden-berdsk[.]ru,golden-berdsk[.]ru,,,[17],golden-berdsk.ru,1
golos-chegem[.]ru,golos-chegem[.]ru,,,[17],golos-chegem.ru,1
golos-dobrinki[.]ru,golos-dobrinki[.]ru,,,[17],golos-dobrinki.ru,1
golos-kh[.]ru,golos-kh[.]ru,,,[17],golos-kh.ru,1
golos-ordynskogo[.]ru,golos-ordynskogo[.]ru,,,[17],golos-ordynskogo.ru,1
golos-p[.]ru,golos-p[.]ru,,,[17],golos-p.ru,1
golos-pestova[.]ru,golos-pestova[.]ru,,,[17],golos-pestova.ru,1
golos-pr[.]ru,golos-pr[.]ru,,,[17],golos-pr.ru,1
golos-prom[.]ru,golos-prom[.]ru,,,[17],golos-prom.ru,1
golos-shumihi[.]ru,golos-shumihi[.]ru,,,[17],golos-shumihi.ru,1
golos-t[.]ru,golos-t[.]ru,,,[17],golos-t.ru,1
golosadyg[.]ru,golosadyg[.]ru,,,[17],golosadyg.ru,1
golosamura[.]ru,golosamura[.]ru,,,[17],golosamura.ru,1
golosladogy[.]ru,golosladogy[.]ru,,,[17],golosladogy.ru,1
golosmozdoka[.]ru,golosmozdoka[.]ru,,,[17],golosmozdoka.ru,1
golyshman[.]ru,golyshman[.]ru,,,[17],golyshman.ru,1
goraltay[.]ru,goraltay[.]ru,,,[17],goraltay.ru,1
gorcomvest[.]ru,gorcomvest[.]ru,,,[17],gorcomvest.ru,1
gornaya-pravda[.]ru,gornaya-pravda[.]ru,,,[17],gornaya-pravda.ru,1
gorod-frolovo[.]ru,gorod-frolovo[.]ru,,,[17],gorod-frolovo.ru,1
gorod-kostomuksha[.]ru,gorod-kostomuksha[.]ru,,,[17],gorod-kostomuksha.ru,1
gorod-kurchatov[.]ru,gorod-kurchatov[.]ru,,,[17],gorod-kurchatov.ru,1
gorod-lukhovitsy[.]ru,gorod-lukhovitsy[.]ru,,,[17],gorod-lukhovitsy.ru,1
gorod-oboyan[.]ru,gorod-oboyan[.]ru,,,[17],gorod-oboyan.ru,1
gorod-ostrov[.]ru,gorod-ostrov[.]ru,,,[17],gorod-ostrov.ru,1
gorod-sovetsky[.]ru,gorod-sovetsky[.]ru,,,[17],gorod-sovetsky.ru,1
gorod-uchaly[.]ru,gorod-uchaly[.]ru,,,[17],gorod-uchaly.ru,1
gorod-usman[.]ru,gorod-usman[.]ru,,,[17],gorod-usman.ru,1
gorodbeloretsk[.]ru,gorodbeloretsk[.]ru,,,[17],gorodbeloretsk.ru,1
gorodostrov[.]info,gorodostrov[.]info,,,[17],gorodostrov.info,1
gorodsibai[.]ru,gorodsibai[.]ru,,,[17],gorodsibai.ru,1
gorokhovets-vesti[.]ru,gorokhovets-vesti[.]ru,,,[17],gorokhovets-vesti.ru,1
gorozhane-gazeta[.]ru,gorozhane-gazeta[.]ru,,,[17],gorozhane-gazeta.ru,1
gorpravda[.]ru,gorpravda[.]ru,,,[17],gorpravda.ru,1
gorshechnoe-vremya[.]ru,gorshechnoe-vremya[.]ru,,,[17],gorshechnoe-vremya.ru,1
goryachi-klyuch[.]ru,goryachi-klyuch[.]ru,,,[17],goryachi-klyuch.ru,1
govorit-bobrov[.]ru,govorit-bobrov[.]ru,,,[17],govorit-bobrov.ru,1
govorit-krivosheino[.]ru,govorit-krivosheino[.]ru,,,[17],govorit-krivosheino.ru,1
govorit-luga[.]ru,govorit-luga[.]ru,,,[17],govorit-luga.ru,1
govorit-sichovka[.]ru,govorit-sichovka[.]ru,,,[17],govorit-sichovka.ru,1
govorit-sychevka[.]ru,govorit-sychevka[.]ru,,,[17],govorit-sychevka.ru,1
govorit-zhukovka[.]ru,govorit-zhukovka[.]ru,,,[17],govorit-zhukovka.ru,1
govoritluga[.]ru,govoritluga[.]ru,,,[17],govoritluga.ru,1
grach26[.]ru,grach26[.]ru,,,[17],grach26.ru,1
gradjeleznogorsk[.]ru,gradjeleznogorsk[.]ru,,,[17],gradjeleznogorsk.ru,1
gradzheleznogorsk[.]ru,gradzheleznogorsk[.]ru,,,[17],gradzheleznogorsk.ru,1
gryazinski-vestnik[.]ru,gryazinski-vestnik[.]ru,,,[17],gryazinski-vestnik.ru,1
gudermes-izvestia[.]ru,gudermes-izvestia[.]ru,,,[17],gudermes-izvestia.ru,1
gulkevichi-press[.]ru,gulkevichi-press[.]ru,,,[17],gulkevichi-press.ru,1
gulkevichi-week[.]ru,gulkevichi-week[.]ru,,,[17],gulkevichi-week.ru,1
gurievsk-variant[.]ru,gurievsk-variant[.]ru,,,[17],gurievsk-variant.ru,1
gurievski-vestnik[.]ru,gurievski-vestnik[.]ru,,,[17],gurievski-vestnik.ru,1
gusnovosti[.]ru,gusnovosti[.]ru,,,[17],gusnovosti.ru,1
h-priziv[.]ru,h-priziv[.]ru,,,[17],h-priziv.ru,1
hangalasski-ulus[.]ru,hangalasski-ulus[.]ru,,,[17],hangalasski-ulus.ru,1
harovskpriziv[.]ru,harovskpriziv[.]ru,,,[17],harovskpriziv.ru,1
hasanvesti[.]ru,hasanvesti[.]ru,,,[17],hasanvesti.ru,1
hasavyurt-vestnik[.]ru,hasavyurt-vestnik[.]ru,,,[17],hasavyurt-vestnik.ru,1
himki-gazeta[.]ru,himki-gazeta[.]ru,,,[17],himki-gazeta.ru,1
hipanis[.]ru,hipanis[.]ru,,,[17],hipanis.ru,1
hlevenskaya-okruga[.]ru,hlevenskaya-okruga[.]ru,,,[17],hlevenskaya-okruga.ru,1
hvoinaya-raion[.]ru,hvoinaya-raion[.]ru,,,[17],hvoinaya-raion.ru,1
ilanskoe-znamya[.]ru,ilanskoe-znamya[.]ru,,,[17],ilanskoe-znamya.ru,1
ilmen-berega[.]ru,ilmen-berega[.]ru,,,[17],ilmen-berega.ru,1
ilsky-golos[.]ru,ilsky-golos[.]ru,,,[17],ilsky-golos.ru,1
ilsky-gorozhanin[.]ru,ilsky-gorozhanin[.]ru,,,[17],ilsky-gorozhanin.ru,1
indsever[.]ru,indsever[.]ru,,,[17],indsever.ru,1
info-kras[.]ru,info-kras[.]ru,,,[17],info-kras.ru,1
infoabakan[.]ru,infoabakan[.]ru,,,[17],infoabakan.ru,1
infoabhaziya[.]ru,infoabhaziya[.]ru,,,[17],infoabhaziya.ru,1
infoadyg[.]ru,infoadyg[.]ru,,,[17],infoadyg.ru,1
infoadygea[.]ru,infoadygea[.]ru,,,[17],infoadygea.ru,1
infoafip[.]ru,infoafip[.]ru,,,[17],infoafip.ru,1
infoagidel[.]ru,infoagidel[.]ru,,,[17],infoagidel.ru,1
infoak-dovurak[.]ru,infoak-dovurak[.]ru,,,[17],infoak-dovurak.ru,1
infoalan[.]ru,infoalan[.]ru,,,[17],infoalan.ru,1
infoalania[.]ru,infoalania[.]ru,,,[17],infoalania.ru,1
infoaldan[.]ru,infoaldan[.]ru,,,[17],infoaldan.ru,1
infoaleisk[.]ru,infoaleisk[.]ru,,,[17],infoaleisk.ru,1
infoalta[.]ru,infoalta[.]ru,,,[17],infoalta.ru,1
infoamur[.]ru,infoamur[.]ru,,,[17],infoamur.ru,1
infoarsenev[.]ru,infoarsenev[.]ru,,,[17],infoarsenev.ru,1
infoarseniev[.]ru,infoarseniev[.]ru,,,[17],infoarseniev.ru,1
infoastra[.]ru,infoastra[.]ru,,,[17],infoastra.ru,1
infoavtury[.]ru,infoavtury[.]ru,,,[17],infoavtury.ru,1
infobabushkin[.]ru,infobabushkin[.]ru,,,[17],infobabushkin.ru,1
infobaltica[.]ru,infobaltica[.]ru,,,[17],infobaltica.ru,1
infobash[.]ru,infobash[.]ru,,,[17],infobash.ru,1
infobaykal[.]ru,infobaykal[.]ru,,,[17],infobaykal.ru,1
infobelg[.]ru,infobelg[.]ru,,,[17],infobelg.ru,1
infoberezovka[.]ru,infoberezovka[.]ru,,,[17],infoberezovka.ru,1
infobeslan[.]ru,infobeslan[.]ru,,,[17],infobeslan.ru,1
infobira[.]ru,infobira[.]ru,,,[17],infobira.ru,1
infoblag[.]ru,infoblag[.]ru,,,[17],infoblag.ru,1
InfoBrics,infobrics[.]org,,,[18][6],infobrics.org,1
InfoBrics,infobrics[.]ru,,,[17],infobrics.ru,1
infoburatia[.]ru,infoburatia[.]ru,,,[17],infoburatia.ru,1
infoburyatia[.]ru,infoburyatia[.]ru,,,[17],infoburyatia.ru,1
infochadan[.]ru,infochadan[.]ru,,,[17],infochadan.ru,1
infochelyabinsk[.]ru,infochelyabinsk[.]ru,,,[17],infochelyabinsk.ru,1
infochermen[.]ru,infochermen[.]ru,,,[17],infochermen.ru,1
infochukotka[.]ru,infochukotka[.]ru,,,[17],infochukotka.ru,1
infochuv[.]ru,infochuv[.]ru,,,[17],infochuv.ru,1
infochuvashia[.]ru,infochuvashia[.]ru,,,[17],infochuvashia.ru,1
infocursk[.]ru,infocursk[.]ru,,,[17],infocursk.ru,1
infodag[.]ru,infodag[.]ru,,,[17],infodag.ru,1
infodesna[.]info,infodesna[.]info,,,[17],infodesna.info,1
infodivnoe[.]ru,infodivnoe[.]ru,,,[17],infodivnoe.ru,1
infodivnogorsk[.]ru,infodivnogorsk[.]ru,,,[17],infodivnogorsk.ru,1
infodnepr[.]ru,infodnepr[.]ru,,,[17],infodnepr.ru,1
infodobryanka[.]ru,infodobryanka[.]ru,,,[17],infodobryanka.ru,1
infodonskoe[.]ru,infodonskoe[.]ru,,,[17],infodonskoe.ru,1
infodubrovka[.]ru,infodubrovka[.]ru,,,[17],infodubrovka.ru,1
infoduldurga[.]ru,infoduldurga[.]ru,,,[17],infoduldurga.ru,1
infodvina[.]ru,infodvina[.]ru,,,[17],infodvina.ru,1
infodyatkovo[.]ru,infodyatkovo[.]ru,,,[17],infodyatkovo.ru,1
infoelbrus[.]ru,infoelbrus[.]ru,,,[17],infoelbrus.ru,1
infoelburgan[.]ru,infoelburgan[.]ru,,,[17],infoelburgan.ru,1
infoelizavetinskaya[.]ru,infoelizavetinskaya[.]ru,,,[17],infoelizavetinskaya.ru,1
infoelizovo[.]ru,infoelizovo[.]ru,,,[17],infoelizovo.ru,1
infoenisey[.]ru,infoenisey[.]ru,,,[17],infoenisey.ru,1
infoglazunovka[.]ru,infoglazunovka[.]ru,,,[17],infoglazunovka.ru,1
infogornyak[.]ru,infogornyak[.]ru,,,[17],infogornyak.ru,1
infogorodovikovsk[.]ru,infogorodovikovsk[.]ru,,,[17],infogorodovikovsk.ru,1
infogukovo[.]ru,infogukovo[.]ru,,,[17],infogukovo.ru,1
infogulkevichi[.]ru,infogulkevichi[.]ru,,,[17],infogulkevichi.ru,1
infohab[.]ru,infohab[.]ru,,,[17],infohab.ru,1
infohabarovsk[.]ru,infohabarovsk[.]ru,,,[17],infohabarovsk.ru,1
infoingush[.]ru,infoingush[.]ru,,,[17],infoingush.ru,1
infoingushetia[.]ru,infoingushetia[.]ru,,,[17],infoingushetia.ru,1
infoipatovo[.]ru,infoipatovo[.]ru,,,[17],infoipatovo.ru,1
infoirkut[.]ru,infoirkut[.]ru,,,[17],infoirkut.ru,1
infoiset[.]ru,infoiset[.]ru,,,[17],infoiset.ru,1
infoistochnik[.]ru,infoistochnik[.]ru,,,[17],infoistochnik.ru,1
infoivanovo[.]ru,infoivanovo[.]ru,,,[17],infoivanovo.ru,1
infokalgan[.]ru,infokalgan[.]ru,,,[17],infokalgan.ru,1
infokalm[.]ru,infokalm[.]ru,,,[17],infokalm.ru,1
infokalmykia[.]ru,infokalmykia[.]ru,,,[17],infokalmykia.ru,1
infokaltan[.]ru,infokaltan[.]ru,,,[17],infokaltan.ru,1
infokaluga[.]ru,infokaluga[.]ru,,,[17],infokaluga.ru,1
infokama[.]ru,infokama[.]ru,,,[17],infokama.ru,1
infokamchatka[.]ru,infokamchatka[.]ru,,,[17],infokamchatka.ru,1
infokamyshin[.]ru,infokamyshin[.]ru,,,[17],infokamyshin.ru,1
infokamysin[.]ru,infokamysin[.]ru,,,[17],infokamysin.ru,1
infokaraga[.]ru,infokaraga[.]ru,,,[17],infokaraga.ru,1
infokarel[.]ru,infokarel[.]ru,,,[17],infokarel.ru,1
infokarelia[.]ru,infokarelia[.]ru,,,[17],infokarelia.ru,1
infokargasok[.]ru,infokargasok[.]ru,,,[17],infokargasok.ru,1
infokatun[.]ru,infokatun[.]ru,,,[17],infokatun.ru,1
infokb[.]ru,infokb[.]ru,,,[17],infokb.ru,1
infokemer[.]ru,infokemer[.]ru,,,[17],infokemer.ru,1
infokemerovo[.]ru,infokemerovo[.]ru,,,[17],infokemerovo.ru,1
infokg[.]ru,infokg[.]ru,,,[17],infokg.ru,1
infokirovsk[.]ru,infokirovsk[.]ru,,,[17],infokirovsk.ru,1
infokirzhach[.]ru,infokirzhach[.]ru,,,[17],infokirzhach.ru,1
infokola[.]ru,infokola[.]ru,,,[17],infokola.ru,1
infokologriv[.]ru,infokologriv[.]ru,,,[17],infokologriv.ru,1
infokomi[.]ru,infokomi[.]ru,,,[17],infokomi.ru,1
infokommunar[.]ru,infokommunar[.]ru,,,[17],infokommunar.ru,1
infokostroma[.]info,infokostroma[.]info,,,[17],infokostroma.info,1
infokrasn[.]ru,infokrasn[.]ru,,,[17],infokrasn.ru,1
infokrasnodar[.]ru,infokrasnodar[.]ru,,,[17],infokrasnodar.ru,1
infokrim[.]info,infokrim[.]info,,,[17],infokrim.info,1
infokurg[.]ru,infokurg[.]ru,,,[17],infokurg.ru,1
infokurgan[.]ru,infokurgan[.]ru,,,[17],infokurgan.ru,1
infokursavka[.]ru,infokursavka[.]ru,,,[17],infokursavka.ru,1
infokursk[.]info,infokursk[.]info,,,[17],infokursk.info,1
infokursk[.]pro,infokursk[.]pro,,,[17],infokursk.pro,1
infokurskaya[.]ru,infokurskaya[.]ru,,,[17],infokurskaya.ru,1
infokushchevskaya[.]ru,infokushchevskaya[.]ru,,,[17],infokushchevskaya.ru,1
infolena[.]ru,infolena[.]ru,,,[17],infolena.ru,1
infolipechk[.]ru,infolipechk[.]ru,,,[17],infolipechk.ru,1
infolipetsk[.]com,infolipetsk[.]com,,,[17],infolipetsk.com,1
infoliski[.]ru,infoliski[.]ru,,,[17],infoliski.ru,1
infomagad[.]ru,infomagad[.]ru,,,[17],infomagad.ru,1
infomagadan[.]ru,infomagadan[.]ru,,,[17],infomagadan.ru,1
infomaima[.]ru,infomaima[.]ru,,,[17],infomaima.ru,1
infomari[.]ru,infomari[.]ru,,,[17],infomari.ru,1
infomelenki[.]ru,infomelenki[.]ru,,,[17],infomelenki.ru,1
infomikhailovka[.]ru,infomikhailovka[.]ru,,,[17],infomikhailovka.ru,1
infominusinsk[.]ru,infominusinsk[.]ru,,,[17],infominusinsk.ru,1
infomordovia[.]ru,infomordovia[.]ru,,,[17],infomordovia.ru,1
infomosk[.]ru,infomosk[.]ru,,,[17],infomosk.ru,1
infomoskovia[.]ru,infomoskovia[.]ru,,,[17],infomoskovia.ru,1
infomurmansk[.]ru,infomurmansk[.]ru,,,[17],infomurmansk.ru,1
infoneftekumsk[.]ru,infoneftekumsk[.]ru,,,[17],infoneftekumsk.ru,1
infonen[.]ru,infonen[.]ru,,,[17],infonen.ru,1
infonerl[.]ru,infonerl[.]ru,,,[17],infonerl.ru,1
infoneva[.]ru,infoneva[.]ru,,,[17],infoneva.ru,1
infonikolskoe[.]ru,infonikolskoe[.]ru,,,[17],infonikolskoe.ru,1
infonnov[.]ru,infonnov[.]ru,,,[17],infonnov.ru,1
infonovgorod[.]ru,infonovgorod[.]ru,,,[17],infonovgorod.ru,1
infonovokubansk[.]ru,infonovokubansk[.]ru,,,[17],infonovokubansk.ru,1
infonovosib[.]ru,infonovosib[.]ru,,,[17],infonovosib.ru,1
infonovosibirsk[.]ru,infonovosibirsk[.]ru,,,[17],infonovosibirsk.ru,1
infonovousman[.]ru,infonovousman[.]ru,,,[17],infonovousman.ru,1
infonovousmansk[.]ru,infonovousmansk[.]ru,,,[17],infonovousmansk.ru,1
infonsib[.]ru,infonsib[.]ru,,,[17],infonsib.ru,1
infooka[.]ru,infooka[.]ru,,,[17],infooka.ru,1
infoolekma[.]ru,infoolekma[.]ru,,,[17],infoolekma.ru,1
infoom[.]ru,infoom[.]ru,,,[17],infoom.ru,1
infoorenburg[.]ru,infoorenburg[.]ru,,,[17],infoorenburg.ru,1
infoossora[.]ru,infoossora[.]ru,,,[17],infoossora.ru,1
infoparma[.]ru,infoparma[.]ru,,,[17],infoparma.ru,1
infopartizansk[.]ru,infopartizansk[.]ru,,,[17],infopartizansk.ru,1
infopechora[.]ru,infopechora[.]ru,,,[17],infopechora.ru,1
infopoltavskaya[.]ru,infopoltavskaya[.]ru,,,[17],infopoltavskaya.ru,1
infopraskoveya[.]ru,infopraskoveya[.]ru,,,[17],infopraskoveya.ru,1
infopriazove[.]ru,infopriazove[.]ru,,,[17],infopriazove.ru,1
infopriozersk[.]ru,infopriozersk[.]ru,,,[17],infopriozersk.ru,1
infopskov[.]ru,infopskov[.]ru,,,[17],infopskov.ru,1
infopskova[.]ru,infopskova[.]ru,,,[17],infopskova.ru,1
infopur[.]ru,infopur[.]ru,,,[17],infopur.ru,1
infopushkino[.]ru,infopushkino[.]ru,,,[17],infopushkino.ru,1
inforaychihinsk[.]ru,inforaychihinsk[.]ru,,,[17],inforaychihinsk.ru,1
inform-kurier[.]ru,inform-kurier[.]ru,,,[17],inform-kurier.ru,1
InfoRos,inforos[.]org,,,[17],inforos.org,1
InfoRos,inforos[.]ru,,,[17][18][19][20][6],inforos.ru,1
inforost[.]ru,inforost[.]ru,,,[17],inforost.ru,1
inforyaz[.]ru,inforyaz[.]ru,,,[17],inforyaz.ru,1
inforyazan[.]com,inforyazan[.]com,,,[17],inforyazan.com,1
infosahalin[.]ru,infosahalin[.]ru,,,[17],infosahalin.ru,1
infosam[.]ru,infosam[.]ru,,,[17],infosam.ru,1
infosamara[.]press,infosamara[.]press,,,[17],infosamara.press,1
infosarat[.]ru,infosarat[.]ru,,,[17],infosarat.ru,1
infosco[.]biz,infosco[.]biz,,,[17],infosco.biz,1
infosco[.]org,infosco[.]org,,,[17],infosco.org,1
infosevastopol[.]ru,infosevastopol[.]ru,,,[17],infosevastopol.ru,1
infoseveromorsk[.]ru,infoseveromorsk[.]ru,,,[17],infoseveromorsk.ru,1
infoshagonar[.]ru,infoshagonar[.]ru,,,[17],infoshagonar.ru,1
infosharya[.]ru,infosharya[.]ru,,,[17],infosharya.ru,1
infosibai[.]ru,infosibai[.]ru,,,[17],infosibai.ru,1
infosibir[.]ru,infosibir[.]ru,,,[17],infosibir.ru,1
infosimbirsk[.]ru,infosimbirsk[.]ru,,,[17],infosimbirsk.ru,1
infosobolevo[.]ru,infosobolevo[.]ru,,,[17],infosobolevo.ru,1
infosokol[.]ru,infosokol[.]ru,,,[17],infosokol.ru,1
infosolnechnyi[.]ru,infosolnechnyi[.]ru,,,[17],infosolnechnyi.ru,1
infostavr[.]ru,infostavr[.]ru,,,[17],infostavr.ru,1
infosura[.]ru,infosura[.]ru,,,[17],infosura.ru,1
infosvetogorsk[.]ru,infosvetogorsk[.]ru,,,[17],infosvetogorsk.ru,1
infotam[.]ru,infotam[.]ru,,,[17],infotam.ru,1
infotambov[.]ru,infotambov[.]ru,,,[17],infotambov.ru,1
infotatarstan[.]ru,infotatarstan[.]ru,,,[17],infotatarstan.ru,1
infotbilisskaya[.]ru,infotbilisskaya[.]ru,,,[17],infotbilisskaya.ru,1
infotemryuk[.]ru,infotemryuk[.]ru,,,[17],infotemryuk.ru,1
infoterek[.]info,infoterek[.]info,,,[17],infoterek.info,1
infoterek[.]ru,infoterek[.]ru,,,[17],infoterek.ru,1
infotigil[.]ru,infotigil[.]ru,,,[17],infotigil.ru,1
