Name,Domain,Status,Notes,Sources,clean_domain,russian_prop
polskieradio24[.]net,polskieradio24[.]net,,,[2],polskieradio24.net,1
pravda-ua[.]com,pravda-ua[.]com,Defunct,Spoofs Ukrainska Pravda. Seized by the United States federal government in 2024.,[2][4][6],pravda-ua.com,1
pravda-ua[.]rest,pravda-ua[.]rest,,Spoofs Ukrainska Pravda.,[2],pravda-ua.rest,1
pravda-ua[.]space,pravda-ua[.]space,,Spoofs Ukrainska Pravda.,[2],pravda-ua.space,1
rbk-sourse[.]digital,rbk-sourse[.]digital,,,[2],rbk-sourse.digital,1
rbk[.]media,rbk[.]media,Defunct,Spoofs RBK Group. Seized by the United States federal government in 2024.,[2][4][5][6],rbk.media,1
rbk[.]today,rbk[.]today,,Spoofs RBK Group.,[1][2],rbk.today,1
repubblica[.]icu,repubblica[.]icu,,Spoofs La Repubblica.,[2][4][6],repubblica.icu,1
repubblica[.]life,repubblica[.]life,,Spoofs La Repubblica.,[1][2][4][6],repubblica.life,1
repubblica[.]world,repubblica[.]world,,Spoofs La Repubblica.,[2][4][6],repubblica.world,1
Reliable Recent News (RRN),rrn.media,Defunct,Seized by the United States federal government in 2024.,[5][4][6],rrn.media,1
Reliable Recent News (RRN),Rrn[.]world,,,[7][1][2][4][6],rrn.world,1
schlauespiel[.]de,schlauespiel[.]de,,,[1][2],schlauespiel.de,1
shadowwatch.us,shadowwatch.us,Defunct,Seized by the United States federal government in 2024.,[5][4][6],shadowwatch.us,1
spicyconspiracy.info,spicyconspiracy.info,,,[5][6],spicyconspiracy.info,1
spiegel[.]agency,spiegel[.]agency,Defunct,Spoofs Der Spiegel. Seized by the United States federal government in 2024.,[7][1][2][4][6],spiegel.agency,1
spiegel[.]cab,spiegel[.]cab,,Spoofs Der Spiegel.,[7][1][2],spiegel.cab,1
spiegel[.]fun,spiegel[.]fun,,Spoofs Der Spiegel.,[7][1][2][4][6],spiegel.fun,1
spiegel[.]ink,spiegel[.]ink,,Spoofs Der Spiegel.,[7][1][2][4][6],spiegel.ink,1
spiegel[.]ltd,spiegel[.]ltd,,Spoofs Der Spiegel.,[7][1][2],spiegel.ltd,1
spiegel[.]pro,spiegel[.]pro,,Spoofs Der Spiegel.,[7][1][2][4][6],spiegel.pro,1
spiegel[.]quest,spiegel[.]quest,,Spoofs Der Spiegel.,[7][1][2][4],spiegel.quest,1
spiegel[.]today,spiegel[.]today,,Spoofs Der Spiegel.,[7][1][2][4][6],spiegel.today,1
